,id,room_type,neighbourhood,price,review_scores_rating,review_scores_cleanliness,review_scores_communication
8443,888074030063288360,Entire home/apt,"Athina, Greece",56.0,4.93,4.93,5.0
8444,888085834527877887,Entire home/apt,"Athina, Greece",171.0,4.81,4.7,4.88
8445,888088806103759588,Private room,"Athina, Greece",37.0,,,
8446,888108199507934961,Entire home/apt,"Athina, Greece",193.0,4.9,4.87,4.9
8447,888152768433556728,Entire home/apt,"Athina, Greece",161.0,4.82,4.87,4.91
8448,888171252739493768,Entire home/apt,"Athina, Greece",53.0,5.0,4.86,5.0
8449,888249642029890544,Entire home/apt,"Athina, Greece",128.0,4.75,4.0,4.75
8450,888261248230564802,Entire home/apt,,85.0,4.88,4.56,4.88
8451,888297074495524169,Entire home/apt,"Athina, Greece",56.0,5.0,5.0,5.0
8452,888391471782178614,Entire home/apt,"Athina, Greece",109.0,4.97,4.94,4.97
8453,888737216101174082,Entire home/apt,,105.0,4.83,5.0,5.0
8454,888813534588765827,Entire home/apt,"Athina, Greece",64.0,4.91,4.91,4.91
8455,888842308655688072,Entire home/apt,"Athina, Greece",93.0,4.88,4.75,5.0
8456,888933161597609209,Entire home/apt,,65.0,,,
8457,888942253369907755,Entire home/apt,"Athina, Greece",55.0,3.33,3.33,4.33
8458,889171749983133865,Entire home/apt,,78.0,5.0,5.0,5.0
8459,889179693930986968,Entire home/apt,"Athina, Greece",50.0,5.0,5.0,5.0
8460,889238997467354310,Entire home/apt,"Athina, Greece",86.0,5.0,4.0,5.0
8461,889588722229037852,Entire home/apt,"Athina, Greece",52.0,4.4,4.2,4.87
8462,889596500166714946,Entire home/apt,,116.0,5.0,5.0,5.0
8463,889598396301769877,Entire home/apt,,75.0,4.84,4.88,4.98
8464,889664635692136165,Entire home/apt,,55.0,5.0,5.0,5.0
8465,889672380112074182,Entire home/apt,,131.0,4.91,4.82,4.91
8466,889733673906251332,Entire home/apt,"Athina, Greece",60.0,5.0,5.0,5.0
8467,889771693973387268,Entire home/apt,,58.0,4.48,4.58,4.65
8468,890335362095643309,Entire home/apt,,116.0,4.75,5.0,5.0
8469,890356568632266859,Entire home/apt,,116.0,4.9,5.0,4.8
8470,890411945371902021,Entire home/apt,,91.0,4.58,4.92,4.92
8471,890453738876814326,Entire home/apt,"Athina, Greece",40.0,,,
8472,890510614348838232,Entire home/apt,,107.0,4.92,5.0,5.0
